RANK,REFEREE,ROLE,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
1,Ray Acosta,CREW,1,58,0.603,2.9,220.7,42.8,50.1,49.9,0.1
2,Brandon Adair,CREW,1,44,0.5,0.7,217.6,41.4,49,51,-0.8
3,Mark Ayotte,CREW,23,39,0.795,7,224,42.7,51.6,48.5,1.4
4,Mark Ayotte,MAIN,23,25,0.56,2.2,220.8,43.1,49.5,50.6,-0.5
5,Brent Barnaky,CREW,9,58,0.448,-1.4,221.8,40.6,49.8,50.2,-0.2
6,Brent Barnaky,MAIN,9,3,0.667,3,239.7,45,54.8,45.2,4.3
7,Curtis Blair,CREW,10,52,0.5,-0.2,222.9,41.2,50.1,49.9,0.1
8,Curtis Blair,MAIN,10,10,0.6,-1.1,217.9,42.2,54.3,45.7,3.6
9,Matt Boland,CREW,19,36,0.5,-0.5,225.4,43.4,50.9,49,0.8
10,Matt Boland,MAIN,19,23,0.391,-1.6,218.6,42.2,51,49,0.8
11,Tony Brothers,MAIN,24,63,0.651,5.7,222.8,43.3,50.6,49.3,0.6
12,Tony Brown,CREW,16,39,0.564,2.8,218.5,41.3,50.2,49.9,0.1
13,Tony Brown,MAIN,16,23,0.652,5.3,229,41.1,50,50,0
14,Nick Buchert,CREW,9,62,0.661,3.3,222.4,41.9,50.7,49.4,0.5
15,Nick Buchert,MAIN,9,2,0.5,2,216,48,47.9,52.1,-2
16,John Butler,CREW,0,9,0.667,4.2,216.7,39.2,49,51,-0.8
17,Mike Callahan,MAIN,28,59,0.712,5.6,220.4,39.6,51.1,48.9,0.9
18,James Capers,MAIN,23,60,0.617,2.9,220.4,42.5,51.7,48.3,1.5
19,Derrick Collins,CREW,19,34,0.588,0.3,222.5,40.3,50.6,49.3,0.5
20,Derrick Collins,MAIN,19,26,0.615,6,214.6,39.7,50.6,49.4,0.5
21,Sean Corbin,MAIN,25,21,0.619,3,223.6,42,53.6,46.4,3
22,Kevin Cutler,CREW,9,52,0.5,-0.8,228.8,40.6,51.6,48.5,1.3
23,Kevin Cutler,MAIN,9,4,0.5,7.3,232.8,44.8,50.8,49.1,0.8
24,Mousa Dagher,CREW,0,33,0.545,3.8,221.5,42.9,49,51.1,-0.9
25,Eric Dalen,CREW,10,55,0.564,1.4,220.5,39.8,50,50,0
26,Eric Dalen,MAIN,10,5,0.6,0.6,213.4,39.2,55.1,44.9,4
27,Marc Davis,CREW,20,20,0.35,-5.1,223.8,40.1,50.5,49.4,0.5
28,Marc Davis,MAIN,20,43,0.605,3.1,222,40.8,50.4,49.5,0.3
29,JB DeRosa,CREW,1,12,0.667,5.5,214.5,40.2,51.4,48.5,1.2
30,JB DeRosa,MAIN,1,43,0.651,3.7,223.1,41.1,50.2,49.9,0.1
31,Mitchell Ervin,CREW,4,58,0.603,2.3,226.2,45.7,49.5,50.4,-0.4
32,Kane Fitzgerald,CREW,9,50,0.68,3.2,224,42,50.6,49.3,0.5
33,Kane Fitzgerald,MAIN,9,14,0.5,2.3,216.9,42.2,48.4,51.6,-1.4
34,Tyler Ford,CREW,4,64,0.641,4.3,224.1,42,51,49,0.8
35,Brian Forte,CREW,12,51,0.627,4.5,218.7,41.5,50.3,49.7,0.2
36,Brian Forte,MAIN,12,13,0.385,1.9,219,42.7,50.8,49.2,0.7
37,Scott Foster,CREW,24,1,0,-1,225,44,56.8,43.2,6
38,Scott Foster,MAIN,24,63,0.683,4.5,221.4,42.2,50.4,49.7,0.3
39,Pat Fraher,CREW,23,25,0.6,1.8,218.4,40.6,50.2,49.9,0.2
40,Pat Fraher,MAIN,23,40,0.55,5.5,218.2,41.1,49.6,50.2,-0.3
41,Ron Garretson,CREW,30,12,0.5,-1.1,213.1,41,52.4,47.6,2
42,Ron Garretson,MAIN,30,48,0.625,3.6,216.1,39,52.2,47.7,1.8
43,Jacyn Goble,CREW,2,49,0.551,3.6,228.5,44.7,50.8,49.2,0.7
44,John Goble,CREW,11,40,0.575,2.9,223.3,41.4,51,49,0.9
45,John Goble,MAIN,11,23,0.565,3.4,221.7,43.9,48.1,51.8,-1.6
46,Jason Goldenberg,CREW,2,49,0.531,0.9,221.7,42.2,50.7,49.4,0.5
47,Nate Green,CREW,0,9,0.222,-2.6,228.6,38,50.6,49.4,0.4
48,David Guthrie,CREW,13,33,0.606,2.8,222.4,39.5,51.2,48.8,0.9
49,David Guthrie,MAIN,13,28,0.571,1.3,228.5,42.2,48.8,51.2,-1
50,Courtney Kirkland,CREW,19,31,0.548,2.9,218.4,41.3,50.6,49.3,0.5
51,Courtney Kirkland,MAIN,19,30,0.567,1.8,220,41.8,50.6,49.3,0.6
52,Marat Kogut,CREW,9,58,0.569,3.5,222.1,43.1,50.6,49.5,0.5
53,Marat Kogut,MAIN,9,6,0.833,8.7,239.3,42,52,48,1.7
54,Karl Lane,CREW,8,63,0.571,2,228.1,45.5,50,50.1,-0.1
55,Karl Lane,MAIN,8,1,1,16,224,43,39.5,60.5,-9
56,Eric Lewis,CREW,14,21,0.619,-2.5,222.1,44.4,51.3,48.7,1.1
57,Eric Lewis,MAIN,14,42,0.548,0.1,222.1,42.5,52.1,48,1.8
58,Mark Lindsay,CREW,11,55,0.564,0.4,224.9,41.7,50.5,49.6,0.4
59,Mark Lindsay,MAIN,11,8,0.75,6.3,210.8,42.4,53.7,46.3,3.1
60,Tre Maddox,CREW,8,60,0.65,4,223.5,41,50.2,49.8,0.2
61,Ed Malloy,CREW,16,33,0.636,4.9,212.2,39.1,51.5,48.4,1.2
62,Ed Malloy,MAIN,16,32,0.656,4.2,230.6,42.1,52.1,47.9,1.8
63,Ken Mauer,CREW,30,3,1,15.3,226.7,39.3,45,55.1,-4
64,Ken Mauer,MAIN,30,56,0.536,1.3,220.1,41.7,49.8,50.1,-0.1
65,Rodney Mott,CREW,23,6,0.667,2,225,39.5,49.8,50.2,-0.2
66,Rodney Mott,MAIN,23,58,0.621,3.3,221.4,41.3,49.1,50.8,-0.7
67,Ashley Moyer-Gleich,CREW,0,31,0.645,4.6,215.1,39,52.4,47.6,1.8
68,Matt Myers,CREW,7,33,0.636,3.3,224.6,40.9,50.2,49.8,0.2
69,Brett Nansel,CREW,4,44,0.75,6.7,220.6,42.5,48.9,51,-0.9
70,J.T. Orr,CREW,9,60,0.567,4.1,221.6,41.9,49.3,50.6,-0.6
71,J.T. Orr,MAIN,9,1,0,-12,196,45,46.7,53.3,-3
