RANK,REFEREE,ROLE,GENDER,EXPERIENCE (YEARS),GAMES OFFICIATED,HOME TEAM WIN%,HOME TEAM POINTS DIFFERENTIAL,TOTAL POINTS PER GAME,CALLED FOULS PER GAME,FOUL% AGAINST ROAD TEAMS,FOUL% AGAINST HOME TEAMS,FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)
,Tony Brothers,CHIEF,MALE,31,21,0.524,1,226,39.2,0.494,0.507,-0.5
,Marc Davis,CHIEF,MALE,26,21,0.524,-2.8,233.1,38.1,0.481,0.52,-1.5
,Sean Corbin,CHIEF,MALE,32,20,0.6,2.5,219.7,38.7,0.508,0.492,0.6
,James Capers,CHIEF,MALE,30,19,0.632,5.3,225,38.4,0.48,0.521,-1.6
,Scott Foster,CHIEF,MALE,31,17,0.647,1.6,232,37.8,0.538,0.461,2.9
,Zach Zarba,CHIEF,MALE,22,17,0.824,8.5,225.8,35.7,0.483,0.517,-1.2
,Mark Lindsay,CHIEF,MALE,18,17,0.412,3,232.2,40.1,0.48,0.521,-1.6
,Curtis Blair,CHIEF,MALE,17,17,0.588,-2.2,227.9,37.5,0.51,0.491,0.7
,Courtney Kirkland,CHIEF,MALE,26,17,0.529,-0.2,221.3,41.5,0.524,0.476,2
,Bill Kennedy,CHIEF,MALE,30,16,0.5,1.3,222.7,37.9,0.463,0.536,-2.8
,John Goble,CHIEF,MALE,18,16,0.563,1.6,225.6,39.3,0.503,0.496,0.3
,JB DeRosa,CHIEF,MALE,8,15,0.733,9.5,232.6,40.3,0.5,0.501,-0.1
,Ed Malloy,CHIEF,MALE,23,15,0.6,5.5,219.7,38.6,0.522,0.478,1.7
,Brian Forte,CHIEF,MALE,19,15,0.733,7,226.2,37.1,0.483,0.516,-1.2
,Josh Tiven,CHIEF,MALE,16,14,0.429,-2.2,225.9,37.2,0.505,0.495,0.4
,Derrick Collins,CHIEF,MALE,26,14,0.571,1.1,229.4,37.1,0.506,0.495,0.4
,Sean Wright,CHIEF,MALE,20,12,0.583,3.9,234.1,37.1,0.514,0.485,1.1
,Tom Washington,CHIEF,MALE,34,12,0.583,5.4,212.9,35.5,0.505,0.495,0.3
,Rodney Mott,CHIEF,MALE,30,11,0.545,4.8,220.8,35.9,0.468,0.532,-2.3
,Derek Richardson,CHIEF,MALE,30,11,0.455,-2.9,225.3,39.5,0.504,0.497,0.3
,Pat Fraher,CHIEF,MALE,30,10,0.5,0.7,222.9,41.3,0.518,0.482,1.5
,Michael Smith,CHIEF,MALE,32,9,0.667,4.2,221.6,41.7,0.501,0.498,0.1
,James Williams,CHIEF,MALE,16,9,0.444,-5,227,40,0.469,0.531,-2.4
,Kevin Scott,CHIEF,MALE,15,8,0.375,-3.1,235.1,37,0.49,0.51,-0.8
,Ben Taylor,CHIEF,MALE,13,8,0.625,4,222.8,39.1,0.512,0.489,0.9
,Nick Buchert,CHIEF,MALE,16,7,0.714,1.7,220.3,39.6,0.487,0.512,-1
,Kevin Cutler,CHIEF,MALE,16,7,0.429,-0.7,233.3,36.7,0.51,0.49,0.7
,Karl Lane,CHIEF,MALE,15,7,0.286,-5.9,208.4,36.7,0.487,0.514,-1
,J.T. Orr,CHIEF,MALE,16,7,0.571,0.6,223.1,37.6,0.536,0.464,2.7
,Eric Dalen,CHIEF,MALE,17,6,0.667,1.8,230.5,36.8,0.521,0.48,1.5
,Marat Kogut,CHIEF,MALE,16,6,0.667,0,216,37.7,0.526,0.473,2
,Tyler Ford,CHIEF,MALE,11,5,0.6,1.2,228.4,37.4,0.492,0.508,-0.6
,Matt Boland,CHIEF,MALE,26,4,0.25,-7.5,225,42,0.476,0.524,-2
,Brent Barnaky,CHIEF,MALE,16,4,0.5,1.8,225.8,37.5,0.487,0.513,-1
,Matt Myers,CHIEF,MALE,13,4,1,13.8,216.8,39.8,0.54,0.459,3.3
,Mitchell Ervin,CHIEF,MALE,11,3,0.333,-0.7,225.3,39,0.615,0.385,9
,Tre Maddox,CHIEF,MALE,15,3,0.667,14,237.3,39.7,0.504,0.495,0.3
,David Guthrie,CHIEF,MALE,20,2,0.5,1.5,229.5,47,0.564,0.436,6
,Scott Twardoski,CHIEF,MALE,16,2,0,-4.5,216.5,41,0.5,0.5,0
,Dedric Taylor,CHIEF,MALE,12,2,0,-25.5,256.5,41,0.537,0.463,3
,Brett Nansel,CHIEF,MALE,11,1,0,-2,234,35,0.371,0.629,-9
,CJ Washington,CHIEF,MALE,11,1,0,-4,206,42,0.5,0.5,0
,Gediminas Petraitis,CHIEF,MALE,11,1,0,-4,208,37,0.486,0.514,-1
,Justin Van Duyne,CHIEF,MALE,12,1,0,-2,232,42,0.571,0.429,6
,Natalie Sago,CREW,FEMALE,7,22,0.636,3,223.5,36.6,0.509,0.491,0.7
,Gediminas Petraitis,CREW,MALE,11,22,0.727,8.8,231.1,38,0.499,0.501,-0.1
,Ray Acosta,CREW,MALE,8,21,0.524,1.6,227,37.2,0.503,0.497,0.2
,Aaron Smith,CREW,MALE,10,21,0.524,1.2,230.4,38.2,0.494,0.506,-0.5
,Jacyn Goble,CREW,MALE,9,20,0.55,4.4,222.8,34.9,0.496,0.503,-0.3
,Mitchell Ervin,CREW,MALE,11,20,0.7,6.4,226.2,37.9,0.491,0.509,-0.7
,Andy Nagy,CREW,MALE,6,20,0.55,-0.3,224.1,40.8,0.49,0.509,-0.8
